YouTube Search interest: jermaine paul
United States; Jan 2008 - Jul 2015

Interest over time
Month,jermaine paul
2008-01,0
2008-02,0
2008-03,3
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,3
2009-08,2
2009-09,2
2009-10,2
2009-11,3
2009-12,4
2010-01,3
2010-02,2
2010-03,2
2010-04,3
2010-05,3
2010-06,2
2010-07,2
2010-08,2
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,1
2011-03,1
2011-04,2
2011-05,1
2011-06,1
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,11
2012-03,11
2012-04,20
2012-05,100
2012-06,14
2012-07,10
2012-08,8
2012-09,22
2012-10,13
2012-11,20
2012-12,13
2013-01,4
2013-02,3
2013-03,6
2013-04,8
2013-05,5
2013-06,4
2013-07,2
2013-08,2
2013-09,3
2013-10,6
2013-11,3
2013-12,2
2014-01,2
2014-02,2
2014-03,3
2014-04,2
2014-05,3
2014-06,2
2014-07,2
2014-08,2
2014-09,2
2014-10,2
2014-11,2
2014-12,2
2015-01,2
2015-02,3
2015-03,3
2015-04,2
2015-05,0
2015-06,0
2015-07,0


Top sub-regions for jermaine paul
Sub-region,jermaine paul
New York,100
Pennsylvania,78
New Jersey,77
Florida,75
Texas,67
California,67
Illinois,62
Alaska,0
Alabama,0
Arkansas,0
Arizona,0
Colorado,0
Connecticut,0
District of Columbia,0
Delaware,0
Georgia,0
Hawaii,0
Iowa,0
Idaho,0
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Massachusetts,0
Maryland,0
Maine,0
Michigan,0
Minnesota,0
Missouri,0
Mississippi,0
Montana,0
North Carolina,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Mexico,0
Nevada,0
Ohio,0
Oklahoma,0
Oregon,0
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Utah,0
Virginia,0
Vermont,0
Washington,0
Wisconsin,0
West Virginia,0
Wyoming,0




Top cities for jermaine paul
Town/City,jermaine paul
New York,100
Los Angeles,95



Top searches for jermaine paul
jermaine paul audition,100
javier colon,35
the voice winner,35
jermaine paul complicated,35
jermaine jackson,25



Rising searches for jermaine paul
jermaine dupri,Breakout
jermaine paul audition,Breakout
jermaine paul complicated,Breakout
jermaine paul live,Breakout
the voice winner,Breakout



