YouTube Search interest: christopher wilde
United States; Jan 2008 - Jul 2015

Interest over time
Month,christopher wilde
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,100
2010-03,44
2010-04,18
2010-05,18
2010-06,16
2010-07,17
2010-08,9
2010-09,6
2010-10,7
2010-11,6
2010-12,5
2011-01,5
2011-02,8
2011-03,6
2011-04,9
2011-05,5
2011-06,6
2011-07,4
2011-08,5
2011-09,2
2011-10,4
2011-11,3
2011-12,4
2012-01,4
2012-02,4
2012-03,3
2012-04,3
2012-05,3
2012-06,8
2012-07,6
2012-08,4
2012-09,4
2012-10,3
2012-11,3
2012-12,3
2013-01,4
2013-02,4
2013-03,4
2013-04,4
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0


Top sub-regions for christopher wilde
Sub-region,christopher wilde
California,100
Alaska,0
Alabama,0
Arkansas,0
Arizona,0
Colorado,0
Connecticut,0
District of Columbia,0
Delaware,0
Florida,0
Georgia,0
Hawaii,0
Iowa,0
Idaho,0
Illinois,0
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Massachusetts,0
Maryland,0
Maine,0
Michigan,0
Minnesota,0
Missouri,0
Mississippi,0
Montana,0
North Carolina,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Jersey,0
New Mexico,0
Nevada,0
New York,0
Ohio,0
Oklahoma,0
Oregon,0
Pennsylvania,0
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,0
Utah,0
Virginia,0
Vermont,0
Washington,0
Wisconsin,0
West Virginia,0
Wyoming,0







Top searches for christopher wilde
hero christopher wilde,100
starstruck christopher wilde,40



Rising searches for christopher wilde
hero christopher wilde,Breakout
starstruck christopher wilde,Breakout



