YouTube Search interest: k.d. lang
United States; Jan 2008 - Jul 2015

Interest over time
Month,k.d. lang
2008-01,25
2008-02,39
2008-03,51
2008-04,31
2008-05,37
2008-06,17
2008-07,17
2008-08,17
2008-09,21
2008-10,24
2008-11,16
2008-12,22
2009-01,25
2009-02,30
2009-03,17
2009-04,14
2009-05,17
2009-06,16
2009-07,22
2009-08,21
2009-09,15
2009-10,15
2009-11,28
2009-12,17
2010-01,17
2010-02,100
2010-03,34
2010-04,26
2010-05,41
2010-06,38
2010-07,25
2010-08,16
2010-09,16
2010-10,16
2010-11,16
2010-12,18
2011-01,12
2011-02,20
2011-03,16
2011-04,32
2011-05,26
2011-06,21
2011-07,15
2011-08,18
2011-09,20
2011-10,17
2011-11,15
2011-12,20
2012-01,10
2012-02,15
2012-03,13
2012-04,14
2012-05,14
2012-06,17
2012-07,13
2012-08,18
2012-09,9
2012-10,9
2012-11,9
2012-12,16
2013-01,13
2013-02,8
2013-03,18
2013-04,17
2013-05,13
2013-06,23
2013-07,8
2013-08,19
2013-09,11
2013-10,11
2013-11,13
2013-12,16
2014-01,12
2014-02,12
2014-03,12
2014-04,12
2014-05,8
2014-06,9
2014-07,10
2014-08,12
2014-09,13
2014-10,13
2014-11,14
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0


Top sub-regions for k.d. lang
Sub-region,k.d. lang
New York,100
California,73
Alaska,0
Alabama,0
Arkansas,0
Arizona,0
Colorado,0
Connecticut,0
District of Columbia,0
Delaware,0
Florida,0
Georgia,0
Hawaii,0
Iowa,0
Idaho,0
Illinois,0
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Massachusetts,0
Maryland,0
Maine,0
Michigan,0
Minnesota,0
Missouri,0
Mississippi,0
Montana,0
North Carolina,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Jersey,0
New Mexico,0
Nevada,0
Ohio,0
Oklahoma,0
Oregon,0
Pennsylvania,0
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,0
Utah,0
Virginia,0
Vermont,0
Washington,0
Wisconsin,0
West Virginia,0
Wyoming,0







Top searches for k.d. lang
k.d. lang hallelujah,100
k.d. lang crying,20



Rising searches for k.d. lang
k.d. lang hallelujah,Breakout



