YouTube Search interest: big & rich
United States; Jan 2008 - Jul 2015

Interest over time
Month,big & rich
2008-01,100
2008-02,91
2008-03,55
2008-04,70
2008-05,70
2008-06,34
2008-07,26
2008-08,27
2008-09,25
2008-10,20
2008-11,28
2008-12,24
2009-01,38
2009-02,52
2009-03,43
2009-04,56
2009-05,32
2009-06,38
2009-07,38
2009-08,36
2009-09,22
2009-10,17
2009-11,26
2009-12,16
2010-01,19
2010-02,11
2010-03,13
2010-04,30
2010-05,35
2010-06,33
2010-07,24
2010-08,15
2010-09,10
2010-10,19
2010-11,17
2010-12,9
2011-01,18
2011-02,24
2011-03,26
2011-04,31
2011-05,25
2011-06,37
2011-07,38
2011-08,28
2011-09,30
2011-10,21
2011-11,25
2011-12,13
2012-01,23
2012-02,18
2012-03,25
2012-04,18
2012-05,25
2012-06,22
2012-07,29
2012-08,29
2012-09,29
2012-10,16
2012-11,19
2012-12,18
2013-01,17
2013-02,22
2013-03,18
2013-04,38
2013-05,29
2013-06,35
2013-07,22
2013-08,41
2013-09,57
2013-10,43
2013-11,30
2013-12,28
2014-01,22
2014-02,27
2014-03,20
2014-04,27
2014-05,25
2014-06,27
2014-07,12
2014-08,28
2014-09,26
2014-10,18
2014-11,28
2014-12,25
2015-01,19
2015-02,18
2015-03,15
2015-04,16
2015-05,22
2015-06,17
2015-07,19


Top sub-regions for big & rich
Sub-region,big & rich
Ohio,100
Georgia,84
Texas,54
Florida,50
New York,40
California,32
Alaska,0
Alabama,0
Arkansas,0
Arizona,0
Colorado,0
Connecticut,0
District of Columbia,0
Delaware,0
Hawaii,0
Iowa,0
Idaho,0
Illinois,0
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Massachusetts,0
Maryland,0
Maine,0
Michigan,0
Minnesota,0
Missouri,0
Mississippi,0
Montana,0
North Carolina,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Jersey,0
New Mexico,0
Nevada,0
Oklahoma,0
Oregon,0
Pennsylvania,0
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Utah,0
Virginia,0
Vermont,0
Washington,0
Wisconsin,0
West Virginia,0
Wyoming,0







Top searches for big & rich
big & rich,100






