YouTube Search interest: tony lucca
United States; Jan 2008 - Jul 2015

Interest over time
Month,tony lucca
2008-01,0
2008-02,0
2008-03,0
2008-04,3
2008-05,2
2008-06,2
2008-07,2
2008-08,2
2008-09,6
2008-10,5
2008-11,2
2008-12,5
2009-01,5
2009-02,3
2009-03,3
2009-04,3
2009-05,3
2009-06,3
2009-07,3
2009-08,3
2009-09,4
2009-10,3
2009-11,3
2009-12,3
2010-01,3
2010-02,2
2010-03,2
2010-04,3
2010-05,2
2010-06,2
2010-07,2
2010-08,2
2010-09,2
2010-10,2
2010-11,3
2010-12,3
2011-01,4
2011-02,4
2011-03,2
2011-04,3
2011-05,2
2011-06,2
2011-07,3
2011-08,3
2011-09,2
2011-10,2
2011-11,2
2011-12,3
2012-01,3
2012-02,37
2012-03,24
2012-04,42
2012-05,100
2012-06,12
2012-07,8
2012-08,6
2012-09,16
2012-10,8
2012-11,8
2012-12,5
2013-01,5
2013-02,4
2013-03,6
2013-04,5
2013-05,6
2013-06,8
2013-07,6
2013-08,3
2013-09,3
2013-10,4
2013-11,5
2013-12,4
2014-01,4
2014-02,4
2014-03,3
2014-04,2
2014-05,2
2014-06,2
2014-07,2
2014-08,2
2014-09,2
2014-10,2
2014-11,2
2014-12,2
2015-01,3
2015-02,2
2015-03,3
2015-04,2
2015-05,0
2015-06,0
2015-07,0


Top sub-regions for tony lucca
Sub-region,tony lucca
Michigan,100
Pennsylvania,81
Massachusetts,79
Ohio,75
Illinois,73
New York,68
California,65
Florida,55
Texas,54
New Jersey,52
Virginia,48
Alaska,0
Alabama,0
Arkansas,0
Arizona,0
Colorado,0
Connecticut,0
District of Columbia,0
Delaware,0
Georgia,0
Hawaii,0
Iowa,0
Idaho,0
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Maryland,0
Maine,0
Minnesota,0
Missouri,0
Mississippi,0
Montana,0
North Carolina,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Mexico,0
Nevada,0
Oklahoma,0
Oregon,0
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Utah,0
Vermont,0
Washington,0
Wisconsin,0
West Virginia,0
Wyoming,0




Top cities for tony lucca
Town/City,tony lucca
Los Angeles,100
New York,94



Top searches for tony lucca
tony lucca audition,100
devil town,95
trouble tony lucca,75
yesterday tony lucca,55
juliet simms,40



Rising searches for tony lucca
devil town,Breakout
juliet simms,Breakout
tony lucca audition,Breakout
trouble tony lucca,Breakout
yesterday tony lucca,Breakout



