YouTube Search interest: rascal flatts
United States; Jan 2008 - Jul 2015

Interest over time
Week,rascal flatts
2008-01-06 - 2008-01-12,26
2008-01-13 - 2008-01-19,27
2008-01-20 - 2008-01-26,31
2008-01-27 - 2008-02-02,33
2008-02-03 - 2008-02-09,34
2008-02-10 - 2008-02-16,31
2008-02-17 - 2008-02-23,29
2008-02-24 - 2008-03-01,28
2008-03-02 - 2008-03-08,30
2008-03-09 - 2008-03-15,32
2008-03-16 - 2008-03-22,30
2008-03-23 - 2008-03-29,26
2008-03-30 - 2008-04-05,25
2008-04-06 - 2008-04-12,31
2008-04-13 - 2008-04-19,29
2008-04-20 - 2008-04-26,29
2008-04-27 - 2008-05-03,27
2008-05-04 - 2008-05-10,33
2008-05-11 - 2008-05-17,28
2008-05-18 - 2008-05-24,26
2008-05-25 - 2008-05-31,26
2008-06-01 - 2008-06-07,25
2008-06-08 - 2008-06-14,32
2008-06-15 - 2008-06-21,35
2008-06-22 - 2008-06-28,31
2008-06-29 - 2008-07-05,30
2008-07-06 - 2008-07-12,37
2008-07-13 - 2008-07-19,31
2008-07-20 - 2008-07-26,34
2008-07-27 - 2008-08-02,34
2008-08-03 - 2008-08-09,35
2008-08-10 - 2008-08-16,34
2008-08-17 - 2008-08-23,37
2008-08-24 - 2008-08-30,35
2008-08-31 - 2008-09-06,39
2008-09-07 - 2008-09-13,36
2008-09-14 - 2008-09-20,36
2008-09-21 - 2008-09-27,36
2008-09-28 - 2008-10-04,38
2008-10-05 - 2008-10-11,34
2008-10-12 - 2008-10-18,37
2008-10-19 - 2008-10-25,40
2008-10-26 - 2008-11-01,36
2008-11-02 - 2008-11-08,41
2008-11-09 - 2008-11-15,41
2008-11-16 - 2008-11-22,36
2008-11-23 - 2008-11-29,36
2008-11-30 - 2008-12-06,33
2008-12-07 - 2008-12-13,35
2008-12-14 - 2008-12-20,35
2008-12-21 - 2008-12-27,36
2008-12-28 - 2009-01-03,29
2009-01-04 - 2009-01-10,32
