id,name,music_brainz_id,music_brainz_name,area,country,begin_area,life_span_begin,music_brainz_type,isni_list,genre1,genre2,genre3,genre4,genre5
300627,Nick Jonas,d7baf435-0df0-4227-9b8f-aa1d8681988b,Nick Jonas,United States,US,Dallas,1992-09-16,Person,,RB,Pop,,,
10098,Flo Rida,4593d49a-7f67-46ba-9ec0-126bd676286f,Flo Rida,United States,US,Florida,1979-09-17,Person,000000005524410X,RB,Rap,Pop,HipHop,
38470,Darius Rucker,3ae70f76-ea53-4cc5-906e-d47a384202a1,Darius Rucker,United States,US,Charleston,1966-05-13,Person,0000000045244800,RB,Country,Rock,,
9423,Ne-Yo,a4a01f5d-18e7-4571-8c3a-76ec0e24e2d7,Ne‐Yo,United States,US,Camden,1979-10-18,Person,,RB,Pop,HipHop,,
5271,Nicki Minaj,1036b808-f58c-4a3e-b461-a2c4492ecf1b,Nicki Minaj,Queens,,Port of Spain,1982-12-08,Person,0000000122969945,RB,Rap,Pop,HipHop,
10709,Usher,3414d446-735a-443c-931f-10634f57e5b9,Usher,United States,US,Dallas,1978-10-14,Person,0000000054903863,RB,Rap,Pop,,
236433,Ariana Grande,3d6f3a89-d038-4c00-9b95-d626f4b64d16,Ariana,United States,,,,,,RB,Pop,,,
14173,Mariah Carey,494e8d09-f85b-4543-892f-a5096aed1cd4,Mariah Carey,United States,US,Huntington,1970-03-27,Person,0000000114722280,RB,Pop,HipHop,,
295970,Jessie J.,d24fb461-dee8-41fc-bb15-2f13bb2644a6,Jessie J,United Kingdom,GB,London,1988-03-27,Person,,RB,Pop,HipHop,,
299027,Prince Royce,d1689304-23ac-4eae-a147-bd2e4100581a,Prince Royce,United States,US,,1989-05-11,Person,,Latin,RB,Pop,,
356,Kanye West,164f0d73-1234-4e2c-8743-d77bf2191051,Kanye West,Chicago,,Atlanta,1977-06-08,Person,0000000116557565,RB,Rap,HipHop,,
5214,Chris Brown,c234fa42-e6a6-443e-937e-2f4b073538a3,Chris Brown,United States,US,,1989-05-05,Person,,RB,Pop,HipHop,,
113780,B.o.B,94c338ff-1985-4429-9dc8-997b61bb5932,B.o.B,United States,US,Winston-Salem,1988-11-15,Person,0000000120532045,RB,Rap,HipHop,,
6492,Omarion,3ca09fae-fdee-4771-bab9-244708515a98,Omarion,United States,US,,1984-11-12,Person,,RB,Pop,HipHop,,
2104,Rihanna,73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,New York,,Saint Michael,1988-02-20,Person,0000000114766419,Reggae,RB,Pop,HipHop,
116098,Trey Songz,4d7304f6-7fe3-4959-9d98-01a5af84afe6,Trey Songz,United States,US,,1984-11-28,Person,,RB,HipHop,,,
10840,Ciara,03172286-f7ed-4864-a4db-459cd5ca9790,Ciara,Atlanta,,Austin,1985-10-25,Person,0000000114687104,RB,Pop,HipHop,,
6555,Missy Elliott,a0b8cb9e-7532-45fe-a74c-30e7c4009a39,Missy Elliott,United States,US,Portsmouth,1971-07-01,Person,0000000078397539,RB,Rap,HipHop,,
267814,Drake,9fff2f8a-21e6-47de-a2b8-7f449929d43f,Drake,Canada,CA,Toronto,1986-10-24,Person,000000012032246X,RB,Rap,Pop,HipHop,
6866,Andy Grammer,10048cb0-3961-407d-8588-50fd75a01799,Kelsey Grammer,United States,US,,1955-02-21,Person,,Reggae,RB,Pop,,
18659,Annie Lennox,3e30aebd-0557-4cfd-8fb9-3945afa5d72b,Annie Lennox,United Kingdom,GB,Aberdeen,1954-12-25,Person,0000000114370449,RB,,,,
5550,Billy Currington,dbf94c49-0dd9-4f72-85d5-f548beb453f6,Billy Currington,United States,US,,1973-11-19,Person,,RB,Country,,,
13786,Jason Derulo,6de0f914-3e60-4418-be3b-42e0feb6eb4d,Jason Derulo,United States,US,Miami,1989-09-21,Person,0000000114539363,RB,Pop,HipHop,,
