id,name,music_brainz_id,music_brainz_name,area,country,begin_area,life_span_begin,music_brainz_type,isni_list,genre1,genre2,genre3,genre4,genre5
2104,Rihanna,73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,New York,,Saint Michael,1988-02-20,Person,0000000114766419,Reggae,RB,Pop,HipHop,
10709,Usher,3414d446-735a-443c-931f-10634f57e5b9,Usher,United States,US,Dallas,1978-10-14,Person,0000000054903863,RB,Rap,Pop,,
113780,B.o.B,94c338ff-1985-4429-9dc8-997b61bb5932,B.o.B,United States,US,Winston-Salem,1988-11-15,Person,0000000120532045,RB,Rap,HipHop,,
9871,Taio Cruz,ba7d2626-38ce-4859-8495-bdb5732715c4,Taio Cruz,United Kingdom,GB,London,1985-04-23,Person,0000000110084242,RB,Pop,HipHop,,
211338,iyaz,3bf30073-ce4e-4207-88d2-ad83677b0387,Iyaz,British Virgin Islands,VG,,1987-04-15,Person,0000000084160108,RB,Rap,Pop,,
6476,Nelly Furtado,13655113-cd16-4b43-9dca-cadbbf26ee05,Nelly Furtado,Canada,CA,Victoria,1978-12-02,Person,0000000115114746,Folk,Latin,RB,Pop,Rock
142333,Nelly,811900b2-68fc-4d41-8bad-69b7a1f4d628,Nelly,United States,US,Austin,1974-11-02,Person,0000000078402174,RB,Rap,Pop,HipHop,
692,Enrique Iglesias,35f866dc-c061-48ba-8157-cf2e0eac4857,Enrique Iglesias,Spain,ES,Madrid,1975-05-08,Person,0000000107851965,Latin,RB,Pop,,
13786,Jason Derulo,6de0f914-3e60-4418-be3b-42e0feb6eb4d,Jason Derulo,United States,US,Miami,1989-09-21,Person,0000000114539363,RB,Pop,HipHop,,
267814,Drake,9fff2f8a-21e6-47de-a2b8-7f449929d43f,Drake,Canada,CA,Toronto,1986-10-24,Person,000000012032246X,RB,Rap,Pop,HipHop,
13455,Justin Bieber,e0140a67-e4d1-4f13-8a01-364355bee46e,Justin Bieber,Canada,CA,London,1994-03-01,Person,0000000114791200,RB,Pop,,,
15590,Mike Posner,5b64e344-b2fb-47bd-bd7b-4c793b17d472,Mike Posner,United States,US,Detroit,1988-02-12,Person,0000000114583591,Electronica,RB,Pop,HipHop,
116098,Trey Songz,4d7304f6-7fe3-4959-9d98-01a5af84afe6,Trey Songz,United States,US,,1984-11-28,Person,,RB,HipHop,,,
10098,Flo Rida,4593d49a-7f67-46ba-9ec0-126bd676286f,Flo Rida,United States,US,Florida,1979-09-17,Person,000000005524410X,RB,Rap,Pop,HipHop,
14199,Jay Sean,e03cf5b6-d2ec-4465-adee-226b518bcfcd,Jay Sean,United Kingdom,GB,,1981-03-26,Person,0000000109299254,RB,Pop,HipHop,,
751,Timbaland,daa09819-5da5-4c7a-8bef-eb372bb27ff1,Timbaland,United States,US,Norfolk,1972-03-10,Person,000000005519793X,RB,Pop,HipHop,,
295116,Willow,6bbfc71b-5f18-4e61-82fb-bee0c2a6b5f9,Willow Smith,United States,US,,2000-10-31,Person,,RB,Pop,,,
356,Kanye West,164f0d73-1234-4e2c-8743-d77bf2191051,Kanye West,Chicago,,Atlanta,1977-06-08,Person,0000000116557565,RB,Rap,HipHop,,
616,Shontelle,cfb2b49e-a921-4171-b089-853d9fc16d2c,Shontelle,Barbados,BB,Saint James,1985-10-04,Person,0000000364513019,Reggae,RB,Pop,HipHop,
451,Justin Timberlake,596ffa74-3d08-44ef-b113-765d43d12738,Justin Timberlake,United States,US,Memphis,1981-01-31,Person,000000011450569X,RB,Pop,,,
5271,Nicki Minaj,1036b808-f58c-4a3e-b461-a2c4492ecf1b,Nicki Minaj,Queens,,Port of Spain,1982-12-08,Person,0000000122969945,RB,Rap,Pop,HipHop,
5214,Chris Brown,c234fa42-e6a6-443e-937e-2f4b073538a3,Chris Brown,United States,US,,1989-05-05,Person,,RB,Pop,HipHop,,
13590,Sean Kingston,f7eb3be3-1065-4a53-94d4-e2d0c15c0b33,Sean Kingston,Jamaica,JM,Miami,1990-02-03,Person,0000000059578123,Reggae,RB,Pop,HipHop,
51977,T.I.,f7ba7fbe-c6bd-4ac0-bee9-c25c558d7d62,T.I.,United States,US,Atlanta,1980-09-25,Person,0000000121406796,RB,Rap,HipHop,,
13075,Alicia Keys,8ef1df30-ae4f-4dbd-9351-1a32b208a01e,Alicia Keys,United States,US,Manhattan,1981-01-25,Person,0000000110657805,Blues,Jazz,RB,Pop,HipHop
17882,Christina Aguilera,b202beb7-99bd-47e7-8b72-195c8d72ebdd,Christina Aguilera,United States,US,Staten Island,1980-12-18,Person,000000005518483X,RB,Pop,,,
268338,Will.I.Am,d574c9bd-46f6-440a-8d6a-8412a283eeb1,will.i.am,United States,US,Los Angeles,1975-03-15,Person,0000000081612084,RB,HipHop,,,
296688,Diddy Dirty Money,480cdd78-e54e-4518-9ec9-572a62d7e1e1,Diddy - Dirty Money,United States,US,,2009,Group,,RB,Rap,HipHop,,
298356,Diddy,1cc2d151-530c-4bf3-834b-8b6203b7fc5a,Diddy,United Kingdom,GB,,,Person,,RB,Rap,Pop,HipHop,
5187,P. Diddy,cabb4fcf-4067-4ba5-908d-76ee66fcf0c6,P. Diddy,United States,US,Harlem,1969-11-04,Person,000000039901800X,RB,Rap,Pop,HipHop,
