id,id,name,music_brainz_id,music_brainz_name,area,country,begin_area,life_span_begin,music_brainz_type,isni_list,genre1,genre2,genre3,genre4,genre5
113780,113780,B.o.B,94c338ff-1985-4429-9dc8-997b61bb5932,B.o.B,United States,US,Winston-Salem,1988-11-15,Person,0000000120532045,RB,Rap,HipHop,,
4153,4153,John Legend,75a72702-a5ef-4513-bca5-c5b944903546,John Legend,United States,US,Springfield,1978-12-28,Person,0000000079874464,RB,,,,
5275,5275,T-Pain,ce55e49a-32f4-4757-9849-bf04d06d5fcc,T‐Pain,United States,US,Tallahassee,1985-09-30,Person,0000000055551230,RB,Rap,Pop,HipHop,
692,692,Enrique Iglesias,35f866dc-c061-48ba-8157-cf2e0eac4857,Enrique Iglesias,Spain,ES,Madrid,1975-05-08,Person,0000000107851965,Latin,RB,Pop,,
12878,12878,Aloe Blacc,4bf89e02-6c30-4603-9f6a-52619b1bea1a,Aloe Blacc,United States,US,California,1979-01-07,Person,,Jazz,RB,HipHop,,
510,510,Beyoncé,183105b5-3e68-4748-9086-2c1c11bf7a3d,Beyoncé,United States,US,Houston,1981-09-04,Person,0000000114914936,RB,Pop,HipHop,,
13786,13786,Jason Derulo,6de0f914-3e60-4418-be3b-42e0feb6eb4d,Jason Derulo,United States,US,Miami,1989-09-21,Person,0000000114539363,RB,Pop,HipHop,,
78821,78821,Pharrell,149f91ef-1287-46da-9a8e-87fee02f1471,Pharrell Williams,United States,US,Virginia Beach,1973-04-05,Person,0000000078409210,RB,Pop,Rock,HipHop,
10098,10098,Flo Rida,4593d49a-7f67-46ba-9ec0-126bd676286f,Flo Rida,United States,US,Florida,1979-09-17,Person,000000005524410X,RB,Rap,Pop,HipHop,
5214,5214,Chris Brown,c234fa42-e6a6-443e-937e-2f4b073538a3,Chris Brown,United States,US,,1989-05-05,Person,,RB,Pop,HipHop,,
323867,323867,Austin Mahone,b69b9854-f568-4a50-b076-309c459946a8,Austin Mahone,United States,US,San Antonio,1996-04-04,Person,,RB,Pop,,,
116098,116098,Trey Songz,4d7304f6-7fe3-4959-9d98-01a5af84afe6,Trey Songz,United States,US,,1984-11-28,Person,,RB,HipHop,,,
67642,67642,Rico Love,7e00c640-fa26-4c83-bdac-ef7a1ecd863a,Rico Love,United States,,,,Person,,RB,Rap,HipHop,,
306639,306639,Romeo Santos,35f343df-3b87-4475-b0e4-d2ba5cc26eea,Romeo Santos,United States,US,The Bronx,1981-07-21,Person,,Latin,RB,,,
115608,115608,K. Michelle,7f3165ab-7959-42be-93bd-f1688ffe37d4,Official,United States,US,,,Group,,RB,HipHop,,,
14173,14173,Mariah Carey,494e8d09-f85b-4543-892f-a5096aed1cd4,Mariah Carey,United States,US,Huntington,1970-03-27,Person,0000000114722280,RB,Pop,HipHop,,
451,451,Justin Timberlake,596ffa74-3d08-44ef-b113-765d43d12738,Justin Timberlake,United States,US,Memphis,1981-01-31,Person,000000011450569X,RB,Pop,,,
157661,157661,YG,6b1cf581-17a9-42c3-927b-d1e2797b1695,Y.G.,United States,US,Compton,1990-03-09,Person,0000000380244779,RB,Rap,HipHop,,
6387,6387,Jennifer Lopez,f0602f55-1770-483d-89bd-4bae0d0ac086,Jennifer Lopez,United States,US,The Bronx,1969-07-24,Person,0000000121299281,Latin,RB,Pop,,
113780,113780,B.o.B,94c338ff-1985-4429-9dc8-997b61bb5932,B.o.B,United States,US,Winston-Salem,1988-11-15,Person,0000000120532045,RB,Rap,HipHop,,
326554,326554,5 Seconds of Summer,830e5c4e-6b7d-431d-86ab-00c751281dc5,5 Seconds of Summer,Australia,AU,Sydney,2011,Group,,RB,Pop,,,
268338,268338,Will.I.Am,d574c9bd-46f6-440a-8d6a-8412a283eeb1,will.i.am,United States,US,Los Angeles,1975-03-15,Person,0000000081612084,RB,HipHop,,,
5550,5550,Billy Currington,dbf94c49-0dd9-4f72-85d5-f548beb453f6,Billy Currington,United States,US,,1973-11-19,Person,,RB,Country,,,
236433,236433,Ariana Grande,3d6f3a89-d038-4c00-9b95-d626f4b64d16,Ariana,United States,,,,,,RB,Pop,,,
5271,5271,Nicki Minaj,1036b808-f58c-4a3e-b461-a2c4492ecf1b,Nicki Minaj,Queens,,Port of Spain,1982-12-08,Person,0000000122969945,RB,Rap,Pop,HipHop,
115865,115865,Robin Thicke,ddfd9b2f-186e-4b2c-ad09-01aa5380c225,Robin Thicke,United States,US,Los Angeles,1977-03-10,Person,0000000077788095,RB,Pop,HipHop,,
44198,44198,Jeremih,1c009a08-74d1-4682-bc56-8bfbe9e66b62,Jeremih,United States,US,Chicago,1987-07-17,Person,000000008170259X,RB,Pop,HipHop,,
288287,288287,Rita Ora,c9dd033c-0270-463c-b3ec-f4b7712486fe,Rita Ora,United Kingdom,GB,Kosovo,1990-11-26,Person,0000000131307855,RB,,,,
300627,300627,Nick Jonas,d7baf435-0df0-4227-9b8f-aa1d8681988b,Nick Jonas,United States,US,Dallas,1992-09-16,Person,,RB,Pop,,,
443,443,Fergie,4f9675d2-f6d5-486c-9b26-33dcca998500,Fergie,United Kingdom,GB,,1979-11-16,Person,,RB,Pop,Rock,HipHop,
10621,10621,Yo Gotti,b02ec63e-e78d-43e5-a594-462e95036e8d,Yo Gotti,United States,US,Memphis,1981-05-19,Person,0000000042769556,RB,Rap,Pop,HipHop,
5797,5797,Gwen Stefani,2e41ae9c-afd2-4f20-8f1e-17281ce9b472,Gwen Stefani,Beverly Hills,,Fullerton,1969-10-03,Person,0000000063105556,RB,Pop,Rock,,
38470,38470,Darius Rucker,3ae70f76-ea53-4cc5-906e-d47a384202a1,Darius Rucker,United States,US,Charleston,1966-05-13,Person,0000000045244800,RB,Country,Rock,,
9423,9423,Ne-Yo,a4a01f5d-18e7-4571-8c3a-76ec0e24e2d7,Ne‐Yo,United States,US,Camden,1979-10-18,Person,,RB,Pop,HipHop,,
299027,299027,Prince Royce,d1689304-23ac-4eae-a147-bd2e4100581a,Prince Royce,United States,US,,1989-05-11,Person,,Latin,RB,Pop,,
356,356,Kanye West,164f0d73-1234-4e2c-8743-d77bf2191051,Kanye West,Chicago,,Atlanta,1977-06-08,Person,0000000116557565,RB,Rap,HipHop,,
6492,6492,Omarion,3ca09fae-fdee-4771-bab9-244708515a98,Omarion,United States,US,,1984-11-12,Person,,RB,Pop,HipHop,,
2104,2104,Rihanna,73e5e69d-3554-40d8-8516-00cb38737a1c,Rihanna,New York,,Saint Michael,1988-02-20,Person,0000000114766419,Reggae,RB,Pop,HipHop,
